名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Original Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"131,550.1 ","69,827.9 ","68,444.1 ","58,510.7 ","6,344.1 ","19,763.1 ","2,455.5 ","22,437.5 ","9,394.5 ",-48.9 ,"1,376.5 ","13,913.6 ","12,537.1 ",,"1,786.1 ","3,378.9 ","1,592.8 ","133,336.2 ",,"130,173.6 ","98,390.6 ","31,783.0 ",,"35,501.6 ",,"129,143.5 ",,,,,,
7- 9.,"131,128.8 ","71,758.0 ","70,555.1 ","60,516.7 ","6,267.4 ","21,909.3 ",677.1 ,"18,260.1 ","10,827.3 ",-18.0 ,"1,447.7 ","13,856.7 ","12,409.0 ",,"1,500.8 ","3,154.3 ","1,653.5 ","132,629.7 ",,"129,681.2 ","100,611.7 ","29,069.4 ",,"39,003.9 ",,"130,469.8 ",,,,,,
10-12.,"142,560.1 ","72,934.4 ","71,232.6 ","61,115.3 ","5,791.0 ","21,719.5 ","3,400.6 ","23,085.8 ","13,070.1 ",196.0 ,"2,362.7 ","14,970.7 ","12,608.0 ",,"1,593.5 ","3,283.4 ","1,689.9 ","144,153.6 ",,"140,197.4 ","103,845.5 ","36,351.9 ",,"40,580.6 ",,"138,963.5 ",,,,,,
1998/ 1- 3.,"128,154.4 ","69,571.2 ","68,803.7 ","58,605.2 ","5,408.8 ","23,380.1 ","-2,945.2 ","19,779.2 ","10,958.1 ",73.3 ,"1,928.9 ","13,967.4 ","12,038.5 ",,"1,998.1 ","3,755.2 ","1,757.1 ","130,152.5 ",,"126,225.5 ","95,414.9 ","30,810.6 ",,"39,747.0 ",,"131,026.2 ",,,,,,
4- 6.,"129,954.9 ","69,517.6 ","67,935.9 ","57,682.6 ","5,343.5 ","19,541.1 ","2,364.6 ","22,524.5 ","8,225.2 ",-15.4 ,"2,453.7 ","13,943.1 ","11,489.5 ",,"1,440.9 ","3,202.2 ","1,761.2 ","131,395.8 ",,"127,501.2 ","96,766.8 ","30,734.4 ",,"33,109.9 ",,"127,605.7 ",,,,,,
7- 9.,"128,775.7 ","71,409.1 ","70,042.3 ","59,705.6 ","5,549.2 ","21,581.4 ",-664.8 ,"18,463.1 ","9,871.6 ",-59.7 ,"2,625.7 ","14,400.1 ","11,774.5 ",,"1,656.7 ","3,188.5 ","1,531.7 ","130,432.4 ",,"126,150.0 ","97,875.0 ","28,275.1 ",,"37,002.2 ",,"129,500.1 ",,,,,,
10-12.,"140,992.0 ","72,991.8 ","71,087.0 ","60,732.7 ","5,192.1 ","20,009.3 ","3,007.0 ","23,504.1 ","13,785.4 ",-80.6 ,"2,583.1 ","13,245.6 ","10,662.6 ",,"1,297.5 ","2,480.4 ","1,182.8 ","142,289.6 ",,"138,409.0 ","101,200.0 ","37,208.9 ",,"38,986.8 ",,"138,065.7 ",,,,,,
1999/ 1- 3.,"126,281.5 ","69,912.7 ","68,973.2 ","58,593.9 ","4,856.7 ","21,419.8 ","-4,687.6 ","20,210.1 ","12,432.0 ",13.7 ,"2,124.0 ","12,454.4 ","10,330.5 ",,"1,530.8 ","2,931.5 ","1,400.6 ","127,812.3 ",,"124,157.5 ","91,501.7 ","32,655.8 ",,"38,708.6 ",,"130,955.3 ",,,,,,
4- 6.,"128,489.3 ","69,944.3 ","68,286.4 ","57,846.6 ","5,305.6 ","17,916.0 ","1,079.9 ","23,151.2 ","9,149.9 ",-40.2 ,"1,982.7 ","12,768.7 ","10,786.0 ",,"1,572.7 ","2,749.4 ","1,176.7 ","130,062.0 ",,"126,506.6 ","94,245.8 ","32,260.9 ",,"32,371.5 ",,"127,449.6 ",,,,,,
7- 9.,"127,361.5 ","71,825.5 ","70,357.4 ","59,850.1 ","5,766.0 ","20,023.7 ","-1,456.9 ","18,960.5 ","10,209.7 ",-33.3 ,"2,066.4 ","13,194.5 ","11,128.1 ",,"1,657.6 ","2,663.4 ","1,005.8 ","129,019.1 ",,"125,295.1 ","96,158.3 ","29,136.8 ",,"35,999.4 ",,"128,851.7 ",,,,,,
